framework                        , test                                                         , time    
Svelte v5                        , 6-100x15 - dyn50%                                            , 322.28  
amadeus-it-group/tansu           , createSignals                                                , 24.29   
amadeus-it-group/tansu           , createComputations                                           , 845.52  
amadeus-it-group/tansu           , updateSignals                                                , 1793.11 
amadeus-it-group/tansu           , avoidablePropagation                                         , 273.33  
amadeus-it-group/tansu           , broadPropagation                                             , 354.99  
amadeus-it-group/tansu           , deepPropagation                                              , 133.70  
amadeus-it-group/tansu           , diamond                                                      , 226.25  
amadeus-it-group/tansu           , mux                                                          , 283.61  
amadeus-it-group/tansu           , repeatedObservers                                            , 58.85   
amadeus-it-group/tansu           , triangle                                                     , 76.25   
amadeus-it-group/tansu           , unstable                                                     , 118.74  
amadeus-it-group/tansu           , molBench                                                     , 32.82   
amadeus-it-group/tansu           , cellx1000                                                    , 48.56   
amadeus-it-group/tansu           , cellx2500                                                    , 168.12  
amadeus-it-group/tansu           , 2-10x5 - lazy80%                                             , 531.22  
amadeus-it-group/tansu           , 6-10x10 - dyn25% - lazy80%                                   , 286.15  
amadeus-it-group/tansu           , 4-1000x12 - dyn5%                                            , 780.86  
amadeus-it-group/tansu           , 25-1000x5                                                    , 796.16  
amadeus-it-group/tansu           , 3-5x500                                                      , 296.79  
amadeus-it-group/tansu           , 6-100x15 - dyn50%                                            , 374.35  
Vue                              , createSignals                                                , 8.92    
Vue                              , createComputations                                           , 196.90  
Vue                              , updateSignals                                                , 628.91  
Vue                              , avoidablePropagation                                         , 300.73  
Vue                              , broadPropagation                                             , 287.20  
Vue                              , deepPropagation                                              , 117.11  
Vue                              , diamond                                                      , 220.24  
Vue                              , mux                                                          , 264.73  
Vue                              , repeatedObservers                                            , 29.95   
Vue                              , triangle                                                     , 71.96   
Vue                              , unstable                                                     , 41.01   
Vue                              , molBench                                                     , 69.76   
Vue                              , cellx1000                                                    , 25.58   
Vue                              , cellx2500                                                    , 68.55   
Vue                              , 2-10x5 - lazy80%                                             , 491.03  
Vue                              , 6-10x10 - dyn25% - lazy80%                                   , 317.41  
Vue                              , 4-1000x12 - dyn5%                                            , 707.80  
Vue                              , 25-1000x5                                                    , 991.80  
Vue                              , 3-5x500                                                      , 259.76  
Vue                              , 6-100x15 - dyn50%                                            , 379.04  
x-reactivity                     , createSignals                                                , 5.04    
x-reactivity                     , createComputations                                           , 650.45  
x-reactivity                     , updateSignals                                                , 2103.89 
x-reactivity                     , avoidablePropagation                                         , 515.40  
x-reactivity                     , broadPropagation                                             , 788.75  
x-reactivity                     , deepPropagation                                              , 246.40  
x-reactivity                     , diamond                                                      , 590.78  
x-reactivity                     , mux                                                          , 270.96  
x-reactivity                     , repeatedObservers                                            , 106.59  
x-reactivity                     , triangle                                                     , 174.54  
x-reactivity                     , unstable                                                     , 152.19  
x-reactivity                     , molBench                                                     , 40.32   
x-reactivity                     , cellx1000                                                    , 43.79   
x-reactivity                     , cellx2500                                                    , 142.77  
x-reactivity                     , 2-10x5 - lazy80%                                             , 2444.46 
x-reactivity                     , 6-10x10 - dyn25% - lazy80%                                   , 577.69  
x-reactivity                     , 4-1000x12 - dyn5%                                            , 945.16  
x-reactivity                     , 25-1000x5                                                    , 1209.66 
x-reactivity                     , 3-5x500                                                      , 415.43  
x-reactivity                     , 6-100x15 - dyn50%                                            , 543.12  
