framework              , test                                                         , time    
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 455.55  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 198.01  
@angular/signals       , avoidablePropagation                                         , 270.10  
@angular/signals       , broadPropagation                                             , 495.66  
@angular/signals       , deepPropagation                                              , 109.70  
@angular/signals       , diamond                                                      , 278.42  
@angular/signals       , mux                                                          , 488.49  
@angular/signals       , repeatedObservers                                            , 87.20   
@angular/signals       , triangle                                                     , 108.12  
@angular/signals       , unstable                                                     , 294.53  
@angular/signals       , molBench                                                     , 329.86  
@angular/signals       , createDataSignals                                            , 42.86   
@angular/signals       , createComputations0to1                                       , 38.09   
@angular/signals       , createComputations1to1                                       , 50.23   
@angular/signals       , createComputations2to1                                       , 47.36   
@angular/signals       , createComputations4to1                                       , 40.03   
@angular/signals       , createComputations1000to1                                    , 40.25   
@angular/signals       , createComputations1to2                                       , 44.60   
@angular/signals       , createComputations1to4                                       , 42.29   
@angular/signals       , createComputations1to8                                       , 40.55   
@angular/signals       , createComputations1to1000                                    , 38.71   
@angular/signals       , updateComputations1to1                                       , 41.20   
@angular/signals       , updateComputations2to1                                       , 38.15   
@angular/signals       , updateComputations4to1                                       , 38.58   
@angular/signals       , updateComputations1000to1                                    , 36.28   
@angular/signals       , updateComputations1to2                                       , 37.84   
@angular/signals       , updateComputations1to4                                       , 38.41   
@angular/signals       , updateComputations1to1000                                    , 38.65   
@angular/signals       , 10x5 - 2 sources - read 20% (simple component)               , 781.71  
@angular/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 344.22  
@angular/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 9095.83 
@angular/signals       , 1000x5 - 25 sources (wide dense)                             , 6733.76 
@angular/signals       , 5x500 - 3 sources (deep)                                     , 248.27  
$mol_wire              , avoidablePropagation                                         , 312.26  
$mol_wire              , broadPropagation                                             , 486.13  
$mol_wire              , deepPropagation                                              , 130.35  
$mol_wire              , diamond                                                      , 276.99  
$mol_wire              , mux                                                          , 394.34  
$mol_wire              , repeatedObservers                                            , 75.72   
$mol_wire              , triangle                                                     , 86.71   
$mol_wire              , unstable                                                     , 131.60  
$mol_wire              , molBench                                                     , 231.48  
$mol_wire              , createDataSignals                                            , 41.15   
$mol_wire              , createComputations0to1                                       , 42.02   
