framework                        , test                                                         , time    
Vue                              , 6-100x15 - dyn50%                                            , 484.24  
x-reactivity                     , createSignals                                                , 9.49    
x-reactivity                     , createComputations                                           , 354.81  
x-reactivity                     , updateSignals                                                , 1898.33 
x-reactivity                     , avoidablePropagation                                         , 348.63  
x-reactivity                     , broadPropagation                                             , 597.53  
x-reactivity                     , deepPropagation                                              , 186.66  
x-reactivity                     , diamond                                                      , 431.48  
x-reactivity                     , mux                                                          , 223.95  
x-reactivity                     , repeatedObservers                                            , 77.24   
x-reactivity                     , triangle                                                     , 130.73  
x-reactivity                     , unstable                                                     , 152.31  
x-reactivity                     , molBench                                                     , 25.78   
x-reactivity                     , cellx1000                                                    , 28.60   
x-reactivity                     , cellx2500                                                    , 77.82   
x-reactivity                     , 2-10x5 - lazy80%                                             , 2155.96 
x-reactivity                     , 6-10x10 - dyn25% - lazy80%                                   , 577.95  
x-reactivity                     , 4-1000x12 - dyn5%                                            , 876.46  
x-reactivity                     , 25-1000x5                                                    , 1091.39 
x-reactivity                     , 3-5x500                                                      , 343.02  
x-reactivity                     , 6-100x15 - dyn50%                                            , 578.95  
